ORDERNO,ORDER_LINENO,PRODUCT_CODE,CUSTOMER_NAME,ORDER_DATE,STATUS,QUANTITY_ORDER,PRICE_EACH,SALES,PHONE,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,COUNTRY,CONTACT_LAST_NAME,CONTACT_FIRST_NAME,PRODUCT_LINE,MSRP,DEAL_SIZE,YEAR_ID,MONTH_ID,QTR_ID,Order_Date
10145,6,S10_1678,Toys4GrownUps.com,25-08-2003,Shipped,45,? 95.80,3746.7,6265557265,78934 Hillside Dr.,N/A,Pasadena,CA,90003,USA,Young,Julie,Motorcycles,? 95.00,Small,2003,8,3,25-08-2003
10145,6,S10_1678,Toys4GrownUps.com,25-08-2003,Shipped,45,? 95.81,3746.7,6265557265,78934 Hillside Dr.,N/A,Pasadena,CA,90003,USA,Young,Julie,Motorcycles,? 95.00,Medium,2003,8,3,25-08-2003
10159,14,S10_1678,Corporate Gift Ideas Co.,10-10-2003,Shipped,49,? 95.82,5205.27,6505551386,7734 Strong St.,N/A,San Francisco,CA,N/A,USA,Brown,Julie,Motorcycles,? 95.00,Large,2003,10,4,10-10-2003
10159,14,S10_1678,Corporate Gift Ideas Co.,10-10-2003,Shipped,49,? 95.83,5205.27,6505551386,7734 Strong St.,N/A,San Francisco,CA,N/A,USA,Brown,Julie,Motorcycles,? 95.00,Small,2003,10,4,10-10-2003
10159,14,S10_1678,Corporate Gift Ideas Co.,10-10-2003,Shipped,49,? 95.84,5205.27,6505551386,7734 Strong St.,N/A,San Francisco,CA,N/A,USA,Brown,Julie,Motorcycles,? 95.00,Medium,2003,10,4,10-10-2003
10168,1,S10_1678,Technics Stores Inc.,28-10-2003,Shipped,36,? 95.85,3479.76,6505556809,9408 Furth Circle,N/A,Burlingame,CA,94217,USA,Hirano,Juri,Motorcycles,? 95.00,Large,2003,10,4,28-10-2003
10168,1,S10_1678,Technics Stores Inc.,28-10-2003,Shipped,36,? 95.86,3479.76,6505556809,9408 Furth Circle,N/A,Burlingame,CA,94217,USA,Hirano,Juri,Motorcycles,? 95.00,Small,2003,10,4,28-10-2003
10168,1,S10_1678,Technics Stores Inc.,28-10-2003,Shipped,36,? 95.87,3479.76,6505556809,9408 Furth Circle,N/A,Burlingame,CA,94217,USA,Hirano,Juri,Motorcycles,? 95.00,Medium,2003,10,4,28-10-2003
10180,9,S10_1678,Daedalus Designs Imports,11-11-2003,Shipped,29,? 95.88,2497.77,20.16.1555,"184, chausse de Tournai",N/A,Lille,N/A,59000,France,Rance,Martine,Motorcycles,? 95.00,Large,2003,11,4,11-11-2003
10180,9,S10_1678,Daedalus Designs Imports,11-11-2003,Shipped,29,? 95.89,2497.77,20.16.1555,"184, chausse de Tournai",N/A,Lille,N/A,59000,France,Rance,Martine,Motorcycles,? 95.00,Small,2003,11,4,11-11-2003
10180,9,S10_1678,Daedalus Designs Imports,11-11-2003,Shipped,29,? 95.90,2497.77,20.16.1555,"184, chausse de Tournai",N/A,Lille,N/A,59000,France,Rance,Martine,Motorcycles,? 95.00,Medium,2003,11,4,11-11-2003
10188,1,S10_1678,Herkku Gifts,18-11-2003,Shipped,48,? 95.91,5512.32,+47 2267 3215,"Drammen 121, PR 744 Sentrum",N/A,Bergen,N/A,N 5804,Norway,Oeztan,Veysel,Motorcycles,? 95.00,Large,2003,11,4,18-11-2003
10188,1,S10_1678,Herkku Gifts,18-11-2003,Shipped,48,? 95.92,5512.32,+47 2267 3215,"Drammen 121, PR 744 Sentrum",N/A,Bergen,N/A,N 5804,Norway,Oeztan,Veysel,Motorcycles,? 95.00,Small,2003,11,4,18-11-2003
10188,1,S10_1678,Herkku Gifts,18-11-2003,Shipped,48,? 95.93,5512.32,+47 2267 3215,"Drammen 121, PR 744 Sentrum",N/A,Bergen,N/A,N 5804,Norway,Oeztan,Veysel,Motorcycles,? 95.00,Medium,2003,11,4,18-11-2003
10201,2,S10_1678,Mini Wheels Co.,01-12-2003,Shipped,22,? 95.94,2168.54,6505555787,5557 North Pendale Street,N/A,San Francisco,CA,N/A,USA,Murphy,Julie,Motorcycles,? 95.00,Large,2003,12,4,01-12-2003
10201,2,S10_1678,Mini Wheels Co.,01-12-2003,Shipped,22,? 95.95,2168.54,6505555787,5557 North Pendale Street,N/A,San Francisco,CA,N/A,USA,Murphy,Julie,Motorcycles,? 95.00,Small,2003,12,4,01-12-2003
10201,2,S10_1678,Mini Wheels Co.,01-12-2003,Shipped,22,? 95.96,2168.54,6505555787,5557 North Pendale Street,N/A,San Francisco,CA,N/A,USA,Murphy,Julie,Motorcycles,? 95.00,Medium,2003,12,4,01-12-2003
10211,14,S10_1678,Auto Canal Petit,15-01-2004,Shipped,41,? 95.97,4708.44,(1) 47.55.6555,"25, rue Lauriston",N/A,Paris,N/A,75016,France,Perrier,Dominique,Motorcycles,? 95.00,Large,2004,1,1,15-01-2004
10211,14,S10_1678,Auto Canal Petit,15-01-2004,Shipped,41,? 95.98,4708.44,(1) 47.55.6555,"25, rue Lauriston",N/A,Paris,N/A,75016,France,Perrier,Dominique,Motorcycles,? 95.00,Small,2004,1,1,15-01-2004
10211,14,S10_1678,Auto Canal Petit,15-01-2004,Shipped,41,? 95.99,4708.44,(1) 47.55.6555,"25, rue Lauriston",N/A,Paris,N/A,75016,France,Perrier,Dominique,Motorcycles,? 95.00,Medium,2004,1,1,15-01-2004
10223,1,S10_1678,"Australian Collectors, Co.",20-02-2004,Shipped,37,? 95.100,3965.66,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,Ferguson,Peter,Motorcycles,? 95.00,Large,2004,2,1,20-02-2004
10223,1,S10_1678,"Australian Collectors, Co.",20-02-2004,Shipped,37,? 95.101,3965.66,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,Ferguson,Peter,Motorcycles,? 95.00,Small,2004,2,1,20-02-2004
10223,1,S10_1678,"Australian Collectors, Co.",20-02-2004,Shipped,37,? 95.102,3965.66,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,Ferguson,Peter,Motorcycles,? 95.00,Medium,2004,2,1,20-02-2004
10237,7,S10_1678,Vitachrome Inc.,05-04-2004,Shipped,23,? 95.103,2333.12,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,Frick,Michael,Motorcycles,? 95.00,Large,2004,4,2,05-04-2004
10237,7,S10_1678,Vitachrome Inc.,05-04-2004,Shipped,23,? 95.104,2333.12,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,Frick,Michael,Motorcycles,? 95.00,Small,2004,4,2,05-04-2004
10237,7,S10_1678,Vitachrome Inc.,05-04-2004,Shipped,23,? 95.105,2333.12,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,Frick,Michael,Motorcycles,? 95.00,Medium,2004,4,2,05-04-2004
10251,2,S10_1678,Tekni Collectables Inc.,18-05-2004,Shipped,28,? 95.106,3188.64,2015559350,7476 Moss Rd.,N/A,Newark,NJ,94019,USA,Brown,William,Motorcycles,? 95.00,Large,2004,5,2,18-05-2004
10251,2,S10_1678,Tekni Collectables Inc.,18-05-2004,Shipped,28,? 95.107,3188.64,2015559350,7476 Moss Rd.,N/A,Newark,NJ,94019,USA,Brown,William,Motorcycles,? 95.00,Small,2004,5,2,18-05-2004
10251,2,S10_1678,Tekni Collectables Inc.,18-05-2004,Shipped,28,? 95.108,3188.64,2015559350,7476 Moss Rd.,N/A,Newark,NJ,94019,USA,Brown,William,Motorcycles,? 95.00,Medium,2004,5,2,18-05-2004
10263,2,S10_1678,Gift Depot Inc.,28-06-2004,Shipped,34,? 95.109,3676.76,2035552570,25593 South Bay Ln.,N/A,Bridgewater,CT,97562,USA,King,Julie,Motorcycles,? 95.00,Large,2004,6,2,28-06-2004
10263,2,S10_1678,Gift Depot Inc.,28-06-2004,Shipped,34,? 95.110,3676.76,2035552570,25593 South Bay Ln.,N/A,Bridgewater,CT,97562,USA,King,Julie,Motorcycles,? 95.00,Small,2004,6,2,28-06-2004
10263,2,S10_1678,Gift Depot Inc.,28-06-2004,Shipped,34,? 95.111,3676.76,2035552570,25593 South Bay Ln.,N/A,Bridgewater,CT,97562,USA,King,Julie,Motorcycles,? 95.00,Medium,2004,6,2,28-06-2004
10275,1,S10_1678,La Rochelle Gifts,23-07-2004,Shipped,45,? 95.112,4177.35,40.67.8555,"67, rue des Cinquante Otages",N/A,Nantes,N/A,44000,France,Labrune,Janine,Motorcycles,? 95.00,Large,2004,7,3,23-07-2004
10275,1,S10_1678,La Rochelle Gifts,23-07-2004,Shipped,45,? 95.113,4177.35,40.67.8555,"67, rue des Cinquante Otages",N/A,Nantes,N/A,44000,France,Labrune,Janine,Motorcycles,? 95.00,Small,2004,7,3,23-07-2004
10275,1,S10_1678,La Rochelle Gifts,23-07-2004,Shipped,45,? 95.114,4177.35,40.67.8555,"67, rue des Cinquante Otages",N/A,Nantes,N/A,44000,France,Labrune,Janine,Motorcycles,? 95.00,Medium,2004,7,3,23-07-2004
10285,6,S10_1678,Marta's Replicas Co.,27-08-2004,Shipped,36,? 95.115,4099.68,6175558555,39323 Spinnaker Dr.,N/A,Cambridge,MA,51247,USA,Hernandez,Marta,Motorcycles,? 95.00,Large,2004,8,3,27-08-2004
10285,6,S10_1678,Marta's Replicas Co.,27-08-2004,Shipped,36,? 95.116,4099.68,6175558555,39323 Spinnaker Dr.,N/A,Cambridge,MA,51247,USA,Hernandez,Marta,Motorcycles,? 95.00,Small,2004,8,3,27-08-2004
10285,6,S10_1678,Marta's Replicas Co.,27-08-2004,Shipped,36,? 95.117,4099.68,6175558555,39323 Spinnaker Dr.,N/A,Cambridge,MA,51247,USA,Hernandez,Marta,Motorcycles,? 95.00,Medium,2004,8,3,27-08-2004
10299,9,S10_1678,"Toys of Finland, Co.",30-09-2004,Shipped,23,? 95.118,2597.39,90-224 8555,Keskuskatu 45,N/A,Helsinki,N/A,21240,Finland,Karttunen,Matti,Motorcycles,? 95.00,Large,2004,9,3,30-09-2004
10299,9,S10_1678,"Toys of Finland, Co.",30-09-2004,Shipped,23,? 95.119,2597.39,90-224 8555,Keskuskatu 45,N/A,Helsinki,N/A,21240,Finland,Karttunen,Matti,Motorcycles,? 95.00,Small,2004,9,3,30-09-2004
10299,9,S10_1678,"Toys of Finland, Co.",30-09-2004,Shipped,23,? 95.120,2597.39,90-224 8555,Keskuskatu 45,N/A,Helsinki,N/A,21240,Finland,Karttunen,Matti,Motorcycles,? 95.00,Medium,2004,9,3,30-09-2004
10309,5,S10_1678,Baane Mini Imports,15-10-2004,Shipped,41,? 95.121,4394.38,07-98 9555,Erling Skakkes gate 78,N/A,Stavern,N/A,4110,Norway,Bergulfsen,Jonas,Motorcycles,? 95.00,Large,2004,10,4,15-10-2004
10309,5,S10_1678,Baane Mini Imports,15-10-2004,Shipped,41,? 95.122,4394.38,07-98 9555,Erling Skakkes gate 78,N/A,Stavern,N/A,4110,Norway,Bergulfsen,Jonas,Motorcycles,? 95.00,Small,2004,10,4,15-10-2004
10309,5,S10_1678,Baane Mini Imports,15-10-2004,Shipped,41,? 95.123,4394.38,07-98 9555,Erling Skakkes gate 78,N/A,Stavern,N/A,4110,Norway,Bergulfsen,Jonas,Motorcycles,? 95.00,Medium,2004,10,4,15-10-2004
10318,1,S10_1678,Diecast Classics Inc.,02-11-2004,Shipped,46,? 95.124,4358.04,2155551555,7586 Pompton St.,N/A,Allentown,PA,70267,USA,Yu,Kyung,Motorcycles,? 95.00,Large,2004,11,4,02-11-2004
10318,1,S10_1678,Diecast Classics Inc.,02-11-2004,Shipped,46,? 95.125,4358.04,2155551555,7586 Pompton St.,N/A,Allentown,PA,70267,USA,Yu,Kyung,Motorcycles,? 95.00,Small,2004,11,4,02-11-2004
10318,1,S10_1678,Diecast Classics Inc.,02-11-2004,Shipped,46,? 95.126,4358.04,2155551555,7586 Pompton St.,N/A,Allentown,PA,70267,USA,Yu,Kyung,Motorcycles,? 95.00,Medium,2004,11,4,02-11-2004
10329,1,S10_1678,Land of Toys Inc.,15-11-2004,Shipped,42,? 95.127,4396.14,2125557818,897 Long Airport Avenue,N/A,NYC,NY,10022,USA,Yu,Kwai,Motorcycles,? 95.00,Large,2004,11,4,15-11-2004
10329,1,S10_1678,Land of Toys Inc.,15-11-2004,Shipped,42,? 95.128,4396.14,2125557818,897 Long Airport Avenue,N/A,NYC,NY,10022,USA,Yu,Kwai,Motorcycles,? 95.00,Small,2004,11,4,15-11-2004
10329,1,S10_1678,Land of Toys Inc.,15-11-2004,Shipped,42,? 95.129,4396.14,2125557818,897 Long Airport Avenue,N/A,NYC,NY,10022,USA,Yu,Kwai,Motorcycles,? 95.00,Medium,2004,11,4,15-11-2004
10341,9,S10_1678,Salzburg Collectables,24-11-2004,Shipped,41,? 95.130,7737.93,6562-9555,Geislweg 14,N/A,Salzburg,N/A,5020,Austria,Pipps,Georg,Motorcycles,? 95.00,Large,2004,11,4,24-11-2004
10341,9,S10_1678,Salzburg Collectables,24-11-2004,Shipped,41,? 95.131,7737.93,6562-9555,Geislweg 14,N/A,Salzburg,N/A,5020,Austria,Pipps,Georg,Motorcycles,? 95.00,Small,2004,11,4,24-11-2004
10341,9,S10_1678,Salzburg Collectables,24-11-2004,Shipped,41,? 95.132,7737.93,6562-9555,Geislweg 14,N/A,Salzburg,N/A,5020,Austria,Pipps,Georg,Motorcycles,? 95.00,Medium,2004,11,4,24-11-2004
10361,13,S10_1678,Souveniers And Things Co.,17-12-2004,Shipped,20,? 95.133,1451,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,Huxley,Adrian,Motorcycles,? 95.00,Large,2004,12,4,17-12-2004
10361,13,S10_1678,Souveniers And Things Co.,17-12-2004,Shipped,20,? 95.134,1451,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,Huxley,Adrian,Motorcycles,? 95.00,Small,2004,12,4,17-12-2004
10361,13,S10_1678,Souveniers And Things Co.,17-12-2004,Shipped,20,? 95.135,1451,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,Huxley,Adrian,Motorcycles,? 95.00,Medium,2004,12,4,17-12-2004
10375,12,S10_1678,La Rochelle Gifts,03-02-2005,Shipped,21,? 95.136,733.11,40.67.8555,"67, rue des Cinquante Otages",N/A,Nantes,N/A,44000,France,Labrune,Janine,Motorcycles,? 95.00,Large,2005,2,1,03-02-2005
10375,12,S10_1678,La Rochelle Gifts,03-02-2005,Shipped,21,? 95.137,733.11,40.67.8555,"67, rue des Cinquante Otages",N/A,Nantes,N/A,44000,France,Labrune,Janine,Motorcycles,? 95.00,Small,2005,2,1,03-02-2005
10375,12,S10_1678,La Rochelle Gifts,03-02-2005,Shipped,21,? 95.138,733.11,40.67.8555,"67, rue des Cinquante Otages",N/A,Nantes,N/A,44000,France,Labrune,Janine,Motorcycles,? 95.00,Medium,2005,2,1,03-02-2005
10388,4,S10_1678,FunGiftIdeas.com,03-03-2005,Shipped,42,? 95.139,3207.12,5085552555,1785 First Street,N/A,New Bedford,MA,50553,USA,Benitez,Violeta,Motorcycles,? 95.00,Large,2005,3,1,03-03-2005
10388,4,S10_1678,FunGiftIdeas.com,03-03-2005,Shipped,42,? 95.140,3207.12,5085552555,1785 First Street,N/A,New Bedford,MA,50553,USA,Benitez,Violeta,Motorcycles,? 95.00,Small,2005,3,1,03-03-2005
10388,4,S10_1678,FunGiftIdeas.com,03-03-2005,Shipped,42,? 95.141,3207.12,5085552555,1785 First Street,N/A,New Bedford,MA,50553,USA,Benitez,Violeta,Motorcycles,? 95.00,Medium,2005,3,1,03-03-2005
10403,7,S10_1678,"UK Collectables, Ltd.",08-04-2005,Shipped,24,? 95.142,2434.56,(171) 555-2282,Berkeley Gardens 12  Brewery,N/A,Liverpool,N/A,WX1 6LT,UK,Devon,Elizabeth,Motorcycles,? 95.00,Large,2005,4,2,08-04-2005
10403,7,S10_1678,"UK Collectables, Ltd.",08-04-2005,Shipped,24,? 95.143,2434.56,(171) 555-2282,Berkeley Gardens 12  Brewery,N/A,Liverpool,N/A,WX1 6LT,UK,Devon,Elizabeth,Motorcycles,? 95.00,Small,2005,4,2,08-04-2005
10403,7,S10_1678,"UK Collectables, Ltd.",08-04-2005,Shipped,24,? 95.144,2434.56,(171) 555-2282,Berkeley Gardens 12  Brewery,N/A,Liverpool,N/A,WX1 6LT,UK,Devon,Elizabeth,Motorcycles,? 95.00,Medium,2005,4,2,08-04-2005
10417,2,S10_1678,Euro Shopping Channel,13-05-2005,Disputed,66,? 95.145,7516.08,(91) 555 94 44,"C/ Moralzarzal, 86",N/A,Madrid,N/A,28034,Spain,Freyre,Diego,Motorcycles,? 95.00,Large,2005,5,2,13-05-2005
10417,2,S10_1678,Euro Shopping Channel,13-05-2005,Disputed,66,? 95.146,7516.08,(91) 555 94 44,"C/ Moralzarzal, 86",N/A,Madrid,N/A,28034,Spain,Freyre,Diego,Motorcycles,? 95.00,Small,2005,5,2,13-05-2005
10417,2,S10_1678,Euro Shopping Channel,13-05-2005,Disputed,66,? 95.147,7516.08,(91) 555 94 44,"C/ Moralzarzal, 86",N/A,Madrid,N/A,28034,Spain,Freyre,Diego,Motorcycles,? 95.00,Medium,2005,5,2,13-05-2005
10103,11,S10_1949,Baane Mini Imports,29-01-2003,Shipped,26,? 95.148,5404.62,07-98 9555,Erling Skakkes gate 78,N/A,Stavern,N/A,4110,Norway,Bergulfsen,Jonas,Classic Cars,? 214.00,Medium,2003,1,1,29-01-2003
10103,11,S10_1949,Baane Mini Imports,29-01-2003,Shipped,26,? 95.149,5404.62,07-98 9555,Erling Skakkes gate 78,N/A,Stavern,N/A,4110,Norway,Bergulfsen,Jonas,Classic Cars,? 214.00,Small,2003,1,1,29-01-2003
10103,11,S10_1949,Baane Mini Imports,29-01-2003,Shipped,26,? 95.150,5404.62,07-98 9555,Erling Skakkes gate 78,N/A,Stavern,N/A,4110,Norway,Bergulfsen,Jonas,Classic Cars,? 214.00,Large,2003,1,1,29-01-2003
10140,11,S10_1949,Technics Stores Inc.,24-07-2003,Shipped,37,? 95.151,7374.1,6505556809,9408 Furth Circle,N/A,Burlingame,CA,94217,USA,Hirano,Juri,Classic Cars,? 214.00,Medium,2003,7,3,24-07-2003
10140,11,S10_1949,Technics Stores Inc.,24-07-2003,Shipped,37,? 95.152,7374.1,6505556809,9408 Furth Circle,N/A,Burlingame,CA,94217,USA,Hirano,Juri,Classic Cars,? 214.00,Small,2003,7,3,24-07-2003
10140,11,S10_1949,Technics Stores Inc.,24-07-2003,Shipped,37,? 95.153,7374.1,6505556809,9408 Furth Circle,N/A,Burlingame,CA,94217,USA,Hirano,Juri,Classic Cars,? 214.00,Large,2003,7,3,24-07-2003
10150,8,S10_1949,"Dragon Souveniers, Ltd.",19-09-2003,Shipped,45,? 95.154,10993.5,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",N/A,Singapore,N/A,79903,Singapore,Natividad,Eric,Classic Cars,? 214.00,Medium,2003,9,3,19-09-2003
10150,8,S10_1949,"Dragon Souveniers, Ltd.",19-09-2003,Shipped,45,? 95.155,10993.5,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",N/A,Singapore,N/A,79903,Singapore,Natividad,Eric,Classic Cars,? 214.00,Small,2003,9,3,19-09-2003
10150,8,S10_1949,"Dragon Souveniers, Ltd.",19-09-2003,Shipped,45,? 95.156,10993.5,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",N/A,Singapore,N/A,79903,Singapore,Natividad,Eric,Classic Cars,? 214.00,Large,2003,9,3,19-09-2003
10163,1,S10_1949,Classic Legends Inc.,20-10-2003,Shipped,21,? 95.157,4860.24,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,Hernandez,Maria,Classic Cars,? 214.00,Medium,2003,10,4,20-10-2003
10163,1,S10_1949,Classic Legends Inc.,20-10-2003,Shipped,21,? 95.158,4860.24,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,Hernandez,Maria,Classic Cars,? 214.00,Small,2003,10,4,20-10-2003
10163,1,S10_1949,Classic Legends Inc.,20-10-2003,Shipped,21,? 95.159,4860.24,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,Hernandez,Maria,Classic Cars,? 214.00,Large,2003,10,4,20-10-2003
10174,4,S10_1949,"Australian Gift Network, Co",06-11-2003,Shipped,34,? 95.160,8014.82,61-7-3844-6555,31 Duncan St. West End,N/A,South Brisbane,Queensland,4101,Australia,Calaghan,Tony,Classic Cars,? 214.00,Medium,2003,11,4,06-11-2003
10174,4,S10_1949,"Australian Gift Network, Co",06-11-2003,Shipped,34,? 100.00,8014.82,61-7-3844-6555,31 Duncan St. West End,N/A,South Brisbane,Queensland,4101,Australia,Calaghan,Tony,Classic Cars,? 214.00,Small,2003,11,4,06-11-2003
10174,4,S10_1949,"Australian Gift Network, Co",06-11-2003,Shipped,34,? 100.00,8014.82,61-7-3844-6555,31 Duncan St. West End,N/A,South Brisbane,Queensland,4101,Australia,Calaghan,Tony,Classic Cars,? 214.00,Large,2003,11,4,06-11-2003
10183,8,S10_1949,"Classic Gift Ideas, Inc",13-11-2003,Shipped,23,? 100.00,5372.57,2155554695,782 First Street,N/A,Philadelphia,PA,71270,USA,Cervantes,Francisca,Classic Cars,? 214.00,Medium,2003,11,4,13-11-2003
10183,8,S10_1949,"Classic Gift Ideas, Inc",13-11-2003,Shipped,23,? 100.00,5372.57,2155554695,782 First Street,N/A,Philadelphia,PA,71270,USA,Cervantes,Francisca,Classic Cars,? 214.00,Small,2003,11,4,13-11-2003
10183,8,S10_1949,"Classic Gift Ideas, Inc",13-11-2003,Shipped,23,? 100.00,5372.57,2155554695,782 First Street,N/A,Philadelphia,PA,71270,USA,Cervantes,Francisca,Classic Cars,? 214.00,Large,2003,11,4,13-11-2003
10194,11,S10_1949,"Saveley & Henriot, Co.",25-11-2003,Shipped,42,? 100.00,7290.36,78.32.5555,"2, rue du Commerce",N/A,Lyon,N/A,69004,France,Saveley,Mary,Classic Cars,? 214.00,Medium,2003,11,4,25-11-2003
10194,11,S10_1949,"Saveley & Henriot, Co.",25-11-2003,Shipped,42,? 100.00,7290.36,78.32.5555,"2, rue du Commerce",N/A,Lyon,N/A,69004,France,Saveley,Mary,Classic Cars,? 214.00,Small,2003,11,4,25-11-2003
10194,11,S10_1949,"Saveley & Henriot, Co.",25-11-2003,Shipped,42,? 100.00,7290.36,78.32.5555,"2, rue du Commerce",N/A,Lyon,N/A,69004,France,Saveley,Mary,Classic Cars,? 214.00,Large,2003,11,4,25-11-2003
10206,6,S10_1949,Canadian Gift Exchange Network,05-12-2003,Shipped,47,? 100.00,9064.89,(604) 555-3392,1900 Oak St.,N/A,Vancouver,BC,V3F 2K1,Canada,Tannamuri,Yoshi,Classic Cars,? 214.00,Medium,2003,12,4,05-12-2003
10206,6,S10_1949,Canadian Gift Exchange Network,05-12-2003,Shipped,47,? 100.00,9064.89,(604) 555-3392,1900 Oak St.,N/A,Vancouver,BC,V3F 2K1,Canada,Tannamuri,Yoshi,Classic Cars,? 214.00,Small,2003,12,4,05-12-2003
10206,6,S10_1949,Canadian Gift Exchange Network,05-12-2003,Shipped,47,? 100.00,9064.89,(604) 555-3392,1900 Oak St.,N/A,Vancouver,BC,V3F 2K1,Canada,Tannamuri,Yoshi,Classic Cars,? 214.00,Large,2003,12,4,05-12-2003
10215,3,S10_1949,West Coast Collectables Co.,29-01-2004,Shipped,35,? 100.00,6075.3,3105553722,3675 Furth Circle,N/A,Burbank,CA,94019,USA,Thompson,Steve,Classic Cars,? 214.00,Medium,2004,1,1,29-01-2004
10215,3,S10_1949,West Coast Collectables Co.,29-01-2004,Shipped,35,? 100.00,6075.3,3105553722,3675 Furth Circle,N/A,Burbank,CA,94019,USA,Thompson,Steve,Classic Cars,? 214.00,Small,2004,1,1,29-01-2004
10215,3,S10_1949,West Coast Collectables Co.,29-01-2004,Shipped,35,? 100.00,6075.3,3105553722,3675 Furth Circle,N/A,Burbank,CA,94019,USA,Thompson,Steve,Classic Cars,? 214.00,Large,2004,1,1,29-01-2004
10228,2,S10_1949,Cambridge Collectables Co.,10-03-2004,Shipped,29,? 100.00,6463.23,6175555555,4658 Baden Av.,N/A,Cambridge,MA,51247,USA,Tseng,Kyung,Classic Cars,? 214.00,Medium,2004,3,1,10-03-2004
10228,2,S10_1949,Cambridge Collectables Co.,10-03-2004,Shipped,29,? 100.00,6463.23,6175555555,4658 Baden Av.,N/A,Cambridge,MA,51247,USA,Tseng,Kyung,Classic Cars,? 214.00,Small,2004,3,1,10-03-2004
